,Theta1,Std.Error_theta1
0,-0.4759275194556949,2.3826794544937777
1,-16.19760518243271,1.6400899408141192
2,-0.7114845560395491,0.051158429681028926
3,1.4528489737381278,0.2477340740289687
4,268.92378998213735,33.1581670658696
5,-0.5478735491685711,8.738369632945815
6,1.223956404018736,0.6825221217295677
7,-18.456511032337403,4.18669753103965
8,-0.19640452021843213,0.02624513043176622
9,73.90381037869793,4.337899963381356
10,118.66114633231393,12.570325480081436
11,172.2319777497085,16.676441344024898
12,-77.10307815112719,42.56427927719638
13,-23.893620453734002,11.256203869314431
14,195.01193300616524,15.370462099623957
15,143.5788494558892,24.753578814873546
16,-58.053095222642696,16.279735048943785
17,-65.57541203609253,14.687389912060958
18,29.315018822255297,11.582097906908212
